case_id,occupancy_id,substeps,label,component,maximum_absolute_value,particle_half_bound,overshoot
limit_spin_density_zero_rect2x3,rect2x3_hole_2,4,spin_density_only,Sy,1.499722655090574e-16,2.5,0.0
limit_spin_density_zero_rect2x3,rect2x3_hole_2,4,spin_density_only,Sz,8.413408858487514e-17,2.5,0.0
limit_spin_density_zero_rect2x3,rect2x3_hole_3,1,static_only,Sx,2.5,2.5,0.0
limit_spin_density_zero_rect2x3,rect2x3_hole_3,1,static_only,Sy,9.69276742202041e-17,2.5,0.0
limit_spin_density_zero_rect2x3,rect2x3_hole_3,1,static_only,Sz,8.023096076392733e-17,2.5,0.0
limit_spin_density_zero_rect2x3,rect2x3_hole_3,2,static_only,Sx,2.5,2.5,0.0
limit_spin_density_zero_rect2x3,rect2x3_hole_3,2,static_only,Sy,9.974659986866641e-17,2.5,0.0
limit_spin_density_zero_rect2x3,rect2x3_hole_3,2,static_only,Sz,6.982261990806649e-17,2.5,0.0
limit_spin_density_zero_rect2x3,rect2x3_hole_3,4,static_only,Sx,2.5,2.5,0.0
limit_spin_density_zero_rect2x3,rect2x3_hole_3,4,static_only,Sy,1.1796119636642288e-16,2.5,0.0
limit_spin_density_zero_rect2x3,rect2x3_hole_3,4,static_only,Sz,8.890457814381136e-17,2.5,0.0
limit_spin_density_zero_rect2x3,rect2x3_hole_3,1,spin_density_only,Sx,2.5,2.5,0.0
limit_spin_density_zero_rect2x3,rect2x3_hole_3,1,spin_density_only,Sy,9.69276742202041e-17,2.5,0.0
limit_spin_density_zero_rect2x3,rect2x3_hole_3,1,spin_density_only,Sz,8.023096076392733e-17,2.5,0.0
limit_spin_density_zero_rect2x3,rect2x3_hole_3,2,spin_density_only,Sx,2.5,2.5,0.0
limit_spin_density_zero_rect2x3,rect2x3_hole_3,2,spin_density_only,Sy,9.974659986866641e-17,2.5,0.0
limit_spin_density_zero_rect2x3,rect2x3_hole_3,2,spin_density_only,Sz,6.982261990806649e-17,2.5,0.0
limit_spin_density_zero_rect2x3,rect2x3_hole_3,4,spin_density_only,Sx,2.5,2.5,0.0
limit_spin_density_zero_rect2x3,rect2x3_hole_3,4,spin_density_only,Sy,1.1796119636642288e-16,2.5,0.0
limit_spin_density_zero_rect2x3,rect2x3_hole_3,4,spin_density_only,Sz,8.890457814381136e-17,2.5,0.0
