time,Sx,Sy,Sz,xi2,xi2_db,min_var,spin_length,N_eff,active_bonds,hole_spin_covariance,stage,block,shape,N,label,occupancy_idx,path_idx,phase_idx,occupancy_seed,hole_path_seed,phase_batch_seed,occupancy_hash,path_hash,run_id,config_hash
0.0,11.5,-0.015625,0.0068359375,0.9031904452472385,-0.442206654125274,5.193356482415394,1.0000010996994577,23.0,41.0,-9.912980109739349e-05,stage5c2d,confirmation,3x3x3,27,static_only,0,0,0,221001,0,421001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase00_static_only,90af02170d880284
0.031818181818181815,11.496472235269342,-0.01595199309432007,0.006835937909399059,0.8700217156727277,-0.604699072904194,4.999567497312231,0.9996943769360224,23.0,41.0,-9.912980334375365e-05,stage5c2d,confirmation,3x3x3,27,static_only,0,0,0,221001,0,421001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase00_static_only,90af02170d880284
0.06363636363636363,11.488370159825337,-0.016210090701432648,0.006835938377225172,0.8388532465872706,-0.7631401029409134,4.813666659567841,0.9989898808552116,23.0,41.0,-9.912980591070089e-05,stage5c2d,confirmation,3x3x3,27,static_only,0,0,0,221001,0,421001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase00_static_only,90af02170d880284
0.09545454545454544,11.475866679956612,-0.016376721783574487,0.006835938881909605,0.8095947439415668,-0.9173232002574828,4.635663154914258,0.9979026435847641,23.0,41.0,-9.912980867988734e-05,stage5c2d,confirmation,3x3x3,27,static_only,0,0,0,221001,0,421001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase00_static_only,90af02170d880284
0.12727272727272726,11.459203793543788,-0.0164320536698781,0.006835939391411174,0.7820808997047031,-1.0674832049756438,4.46512660289957,0.9964537055630004,23.0,41.0,-9.912981147550804e-05,stage5c2d,confirmation,3x3x3,27,static_only,0,0,0,221001,0,421001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase00_static_only,90af02170d880284
0.15909090909090906,11.438683931044997,-0.016359890013351853,0.006835939868632577,0.7561425209322852,-1.2139633912727772,4.301589745457094,0.9946693628548422,23.0,41.0,-9.912981409400596e-05,stage5c2d,confirmation,3x3x3,27,static_only,0,0,0,221001,0,421001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase00_static_only,90af02170d880284
0.1909090909090909,11.414659852270956,-0.016148295735640677,0.006835940278121373,0.7316181805783432,-1.3571551092286547,4.144609582656912,0.9925802888413884,23.0,41.0,-9.912981634085842e-05,stage5c2d,confirmation,3x3x3,27,static_only,0,0,0,221001,0,421001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase00_static_only,90af02170d880284
0.22272727272727272,11.38752325783437,-0.0157899069047325,0.0068359405922268435,0.7083584727532279,-1.4974690708495624,3.9937861113721813,0.9902205440658539,23.0,41.0,-9.912981806434477e-05,stage5c2d,confirmation,3x3x3,27,static_only,0,0,0,221001,0,421001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase00_static_only,90af02170d880284
0.2545454545454545,11.357692282768474,-0.015281915002398127,0.006835940795155281,0.686228264877166,-1.635313978692075,3.8487695308000687,0.9876264887794945,23.0,41.0,-9.912981917780742e-05,stage5c2d,confirmation,3x3x3,27,static_only,0,0,0,221001,0,421001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase00_static_only,90af02170d880284
0.2863636363636363,11.325598122979153,-0.014625753828978228,0.006835940884103479,0.6651079888615533,-1.7710783566058348,3.709261953838207,0.9848356199802026,23.0,41.0,-9.912981966586261e-05,stage5c2d,confirmation,3x3x3,27,static_only,0,0,0,221001,0,421001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase00_static_only,90af02170d880284
0.3181818181818181,11.29167118410957,-0.013826555746204247,0.006835940867623887,0.6448942435664239,-1.905114996303356,3.5750154294327974,0.9818853668333051,23.0,41.0,-9.912981957543934e-05,stage5c2d,confirmation,3x3x3,27,static_only,0,0,0,221001,0,421001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase00_static_only,90af02170d880284
0.35,11.256327298097553,-0.012892473172357715,0.0068359407622266225,0.6254997960493724,-2.0377282757671082,3.4458271721482596,0.9788118919163555,23.0,41.0,-9.912981899712793e-05,stage5c2d,confirmation,3x3x3,27,static_only,0,0,0,221001,0,421001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase00_static_only,90af02170d880284
0.3818181818181818,11.219954680150662,-0.011833973956962824,0.00683594058866158,0.6068530275780362,-2.1691647703111543,3.321532733310877,0.9756489568173656,23.0,41.0,-9.912981804478204e-05,stage5c2d,confirmation,3x3x3,27,static_only,0,0,0,221001,0,421001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase00_static_only,90af02170d880284
0.4136363636363636,11.182902360386665,-0.010663212259910468,0.00683594036916548,0.5888968773421512,-2.2996074854443074,3.2019978696275353,0.9724269159630257,23.0,41.0,-9.912981684041431e-05,stage5c2d,confirmation,3x3x3,27,static_only,0,0,0,221001,0,421001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase00_static_only,90af02170d880284
0.44545454545454544,11.145470797712056,-0.009393551594299917,0.006835940126302996,0.5715873618426981,-2.4291738229999025,3.087109897774172,0.969171900224912,23.0,41.0,-9.912981550783577e-05,stage5c2d,confirmation,3x3x3,27,static_only,0,0,0,221001,0,421001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase00_static_only,90af02170d880284
0.47727272727272724,11.107905263585343,-0.008039279670272171,0.006835939883169707,0.5548917751588837,-2.5579171243503955,2.9767692976782434,0.9659052414117061,23.0,41.0,-9.912981417376972e-05,stage5c2d,confirmation,3x3x3,27,static_only,0,0,0,221001,0,421001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase00_static_only,90af02170d880284
0.509090909090909,11.07039238035727,-0.006615513657074048,0.0068359396640022985,0.5387866942478888,-2.685831380531213,2.870882217856062,0.9626431710968845,23.0,41.0,-9.91298129712065e-05,stage5c2d,confirmation,3x3x3,27,static_only,0,0,0,221001,0,421001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase00_static_only,90af02170d880284
0.5409090909090909,11.033059935545745,-0.0051382574233179,0.006835939493983761,0.5232559183561558,-2.8128585081558373,2.7693543494664192,0.959396804326555,23.0,41.0,-9.912981203831983e-05,stage5c2d,confirmation,3x3x3,27,static_only,0,0,0,221001,0,421001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase00_static_only,90af02170d880284
0.5727272727272726,10.995979802218889,-0.003624545394117178,0.006835939397344516,0.5082884617514796,-2.938897487559589,2.6720864031989144,0.9561723934311968,23.0,41.0,-9.912981150806418e-05,stage5c2d,confirmation,3x3x3,27,static_only,0,0,0,221001,0,421001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase00_static_only,90af02170d880284
0.6045454545454545,10.959173516291674,-0.0020925944263533824,0.0068359393936945675,0.49387669795639866,-3.0638146419619345,2.5789711918107017,0.9529718128767901,23.0,41.0,-9.912981148803617e-05,stage5c2d,confirmation,3x3x3,27,static_only,0,0,0,221001,0,421001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path00_phase00_static_only,90af02170d880284
