stage,block,shape,N,label,occupancy_idx,path_idx,phase_idx,occupancy_seed,hole_path_seed,phase_batch_seed,occupancy_hash,path_hash,run_id,xi2_db_fixed,xi2_db_min,fixed_time,time_at_min,N_eff_fixed,active_bonds_fixed,runtime_seconds,config_hash
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,0,2,0,221001,321003,423001,fedb8539feb9341c,97e701713f84d633,confirmation_occ000_path02_phase00_mobile_plus_spin_density,-2.9285632275744744,-4.0858240869215665,0.9227272727272726,1.4,23.0,41.0,0.3185904580168426,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,0,2,1,221001,0,423002,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path02_phase01_static_only,-3.7203042497152867,-4.912406721574655,0.9227272727272726,1.4,23.0,41.0,0.32068775000516325,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,0,2,1,221001,321003,423002,fedb8539feb9341c,97e701713f84d633,confirmation_occ000_path02_phase01_mobile_plus_spin_density,-3.1191303849300454,-4.278812685781567,0.9227272727272726,1.4,23.0,41.0,0.3180667500128038,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,0,2,2,221001,0,423003,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path02_phase02_static_only,-3.4193871071364503,-4.629164845575357,0.9227272727272726,1.4,23.0,41.0,0.3243652500095777,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,0,2,2,221001,321003,423003,fedb8539feb9341c,97e701713f84d633,confirmation_occ000_path02_phase02_mobile_plus_spin_density,-2.922025059074205,-4.020592539552256,0.9227272727272726,1.4,23.0,41.0,0.3210010420298204,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,0,2,3,221001,0,423004,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path02_phase03_static_only,-3.635474980767628,-4.807519515771367,0.9227272727272726,1.4,23.0,41.0,0.32159012503689155,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,0,2,3,221001,321003,423004,fedb8539feb9341c,97e701713f84d633,confirmation_occ000_path02_phase03_mobile_plus_spin_density,-3.137314812757352,-4.34042026009341,0.9227272727272726,1.4,23.0,41.0,0.31913858297048137,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,0,3,0,221001,0,424001,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path03_phase00_static_only,-3.379472713862912,-4.603969913877308,0.9227272727272726,1.4,23.0,41.0,0.3221628749743104,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,0,3,0,221001,321004,424001,fedb8539feb9341c,73e1a42f0c1dec15,confirmation_occ000_path03_phase00_mobile_plus_spin_density,-3.211375333702292,-3.6265550701502924,0.9227272727272726,1.4,23.0,41.0,0.32288437499664724,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,0,3,1,221001,0,424002,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path03_phase01_static_only,-3.8401290936241557,-5.100444728559511,0.9227272727272726,1.4,23.0,41.0,0.32051120896358043,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,0,3,1,221001,321004,424002,fedb8539feb9341c,73e1a42f0c1dec15,confirmation_occ000_path03_phase01_mobile_plus_spin_density,-3.6950835628926857,-4.038278044715117,0.9227272727272726,1.0499999999999998,23.0,41.0,0.32325275003677234,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,0,3,2,221001,0,424003,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path03_phase02_static_only,-3.5333899307987213,-4.770601535358842,0.9227272727272726,1.4,23.0,41.0,0.3199562919908203,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,0,3,2,221001,321004,424003,fedb8539feb9341c,73e1a42f0c1dec15,confirmation_occ000_path03_phase02_mobile_plus_spin_density,-3.414104800872036,-4.229192761181193,0.9227272727272726,1.4,23.0,41.0,0.3224151659524068,90af02170d880284
stage5c2d,confirmation,3x3x3,27,static_only,0,3,3,221001,0,424004,fedb8539feb9341c,6bd46ec6505eab22,confirmation_occ000_path03_phase03_static_only,-3.862174590599689,-5.1610348641533275,0.9227272727272726,1.4,23.0,41.0,0.3226925419876352,90af02170d880284
stage5c2d,confirmation,3x3x3,27,mobile_plus_spin_density,0,3,3,221001,321004,424004,fedb8539feb9341c,73e1a42f0c1dec15,confirmation_occ000_path03_phase03_mobile_plus_spin_density,-3.7516308481814247,-4.222666948850815,0.9227272727272726,1.4,23.0,41.0,0.32171891699545085,90af02170d880284
