block,component,fraction
primary,occupancy,0.6425484233778239
primary,hole path,0.3404482668087296
primary,phase batch,0.0170033098134463
confirmation,occupancy,0.2196189956779395
confirmation,hole path,0.706982266056971
confirmation,phase batch,0.0733987382650893
