block,offset,actual_time,mean_effect_db,hierarchical_ci_low,hierarchical_ci_high,negative
primary,-0.1,0.8272727272727272,-0.3314448767310477,-0.4319862975731605,-0.2368185870175644,True
primary,0.0,0.9227272727272726,-0.4117970079175504,-0.521457875008144,-0.2978277586853845,True
primary,0.1,1.018181818181818,-0.4869322915157049,-0.6158026221360182,-0.3625282064364562,True
confirmation,-0.1,0.8272727272727272,-0.4041702388844969,-0.4970786042754326,-0.312977337311481,True
confirmation,0.0,0.9227272727272726,-0.4744235375151275,-0.5693913789100717,-0.3764204703574731,True
confirmation,0.1,1.018181818181818,-0.5622702849902398,-0.6814913786272354,-0.4428168084170165,True
