schema_version,case_id,occupancy_id,seed_index,phase_batch_seed,time,component,mean,standard_error,particle_half_bound,critical_value,simultaneous_lower,simultaneous_upper,cell_reject
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.0,Sx,2.5,0.0,2.5,3.9628056733104815,2.5,2.5,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.0,Sy,-0.0029296875,0.03468134746665401,2.5,3.9628056733104815,-0.1403651279989086,0.1345057529989086,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.0,Sz,-0.037109375,0.03388215077357277,2.5,3.9628056733104815,-0.17137775430947527,0.09715900430947527,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.031818181818181815,Sx,2.5004756190620454,0.0003881483009029415,2.5,3.9628056733104815,2.4989374627731413,2.5020137753509495,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.031818181818181815,Sy,-0.0024237365442137085,0.034679576817030384,2.5,3.9628056733104815,-0.13985216030274836,0.13500468721432093,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.031818181818181815,Sz,-0.03710937500001602,0.03388215077357309,2.5,3.9628056733104815,-0.17137775430949256,0.09715900430946053,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.06363636363636363,Sx,2.5006284994247943,0.0007761560721207615,2.5,3.9628056733104815,2.4975527437388196,2.503704255110769,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.06363636363636363,Sy,-0.001915519710776697,0.03468613480019568,2.5,3.9628056733104815,-0.13936993148220425,0.13553889206065087,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.06363636363636363,Sz,-0.03710937500003076,0.033882150773573816,2.5,3.9628056733104815,-0.1713777543095102,0.09715900430944868,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.09545454545454544,Sx,2.5004565119765365,0.0011635092106490725,2.5,3.9628056733104815,2.4958457510756276,2.5050672728774455,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.09545454545454544,Sy,-0.0014047196278283351,0.03470099615080314,2.5,3.9628056733104815,-0.1389180240437562,0.1361085847880995,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.09545454545454544,Sz,-0.03710937500004395,0.03388215077357507,2.5,3.9628056733104815,-0.17137775430952834,0.09715900430944045,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.12727272727272726,Sx,2.499957827580007,0.0015496941771891094,2.5,3.9628056733104815,2.493816690702746,2.506098964457268,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.12727272727272726,Sy,-0.0008910316749138529,0.03472410450317231,2.5,3.9628056733104815,-0.13849591000071113,0.1367138466508834,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.12727272727272726,Sz,-0.03710937500005546,0.03388215077357685,2.5,3.9628056733104815,-0.1713777543095469,0.097159004309436,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.15909090909090906,Sx,2.499130942919903,0.0019342016417442439,2.5,3.9628056733104815,2.4914660776806725,2.5067958081591337,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.15909090909090906,Sy,-0.00037416325403750485,0.03475537247001523,2.5,3.9628056733104815,-0.13810295045623278,0.13735462394815778,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.15909090909090906,Sz,-0.037109375000065295,0.0338821507735791,2.5,3.9628056733104815,-0.1713777543095657,0.0971590043094351,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.1909090909090909,Sx,2.497974709796793,0.0023165302301648037,2.5,3.9628056733104815,2.488794750658301,2.5071546689352853,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.1909090909090909,Sy,0.00014616652392277635,0.03479468190665658,2.5,3.9628056733104815,-0.13773839633680948,0.13803072938465502,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.1909090909090909,Sz,-0.037109375000073275,0.033882150773581726,2.5,3.9628056733104815,-0.17137775430958405,0.0971590043094375,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.22272727272727272,Sx,2.496488367549455,0.002696190370926492,2.5,3.9628056733104815,2.4858038890512226,2.5071728460476876,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.22272727272727272,Sy,0.000670226690753908,0.03484188438489105,2.5,3.9628056733104815,-0.13740139041852026,0.13874184380002805,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.22272727272727272,Sz,-0.03710937500007951,0.03388215077358479,2.5,3.9628056733104815,-0.17137775430960245,0.09715900430944341,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.2545454545454545,Sx,2.4946715781955593,0.003072708227664133,2.5,3.9628056733104815,2.482495032598544,2.5068481237925746,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.2545454545454545,Sy,0.0011982737812854683,0.03489680190310317,2.5,3.9628056733104815,-0.13709097078072377,0.13948751834329473,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.2545454545454545,Sz,-0.03710937500008407,0.033882150773588166,2.5,3.9628056733104815,-0.17137775430962038,0.09715900430945223,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.2863636363636363,Sx,2.4925244637800823,0.003445629688051742,2.5,3.9628056733104815,2.478870102904144,2.5061788246560206,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.2863636363636363,Sy,0.0017305506916064418,0.034959227860025616,2.5,3.9628056733104815,-0.1368060758066569,0.14026717718986978,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.2863636363636363,Sz,-0.03710937500008702,0.033882150773591795,2.5,3.9628056733104815,-0.1713777543096377,0.09715900430946367,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.3181818181818181,Sx,2.490047645311452,0.003814524364893852,2.5,3.9628056733104815,2.4749314265172697,2.505163864105634,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.3181818181818181,Sy,0.00226728504211334,0.03502892831826687,2.5,3.9628056733104815,-0.1365455508275008,0.1410801209117275,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.3181818181818181,Sz,-0.03710937500008839,0.03388215077359565,2.5,3.9628056733104815,-0.17137775430965435,0.09715900430947759,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.35,Sx,2.4872422825528355,0.004178989552043357,2.5,3.9628056733104815,2.470681759047293,2.503802806058378,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.35,Sy,0.0028086870696293047,0.03510564358030802,2.5,3.9628056733104815,-0.13630815647563102,0.14192553061488963,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.35,Sz,-0.03710937500008853,0.03388215077359961,2.5,3.9628056733104815,-0.1713777543096702,0.09715900430949312,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.3818181818181818,Sx,2.4841101138239474,0.004538654067036517,2.5,3.9628056733104815,2.4661243097379013,2.5020959179099935,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.3818181818181818,Sy,0.0033549470887221,0.035189090093968714,2.5,3.9628056733104815,-0.13609257877429076,0.14280247295173498,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.3818181818181818,Sz,-0.03710937500008752,0.03388215077360376,2.5,3.9628056733104815,-0.1713777543096856,0.09715900430951058,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.4136363636363636,Sx,2.480653494862822,0.004893181904859293,2.5,3.9628056733104815,2.4612627658497055,2.5000442238759386,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.4136363636363636,Sy,0.0039062325763909852,0.03527896269637289,2.5,3.9628056733104815,-0.13589744094530434,0.1437099060980863,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.4136363636363636,Sz,-0.037109375000085695,0.03388215077360792,2.5,3.9628056733104815,-0.17137775430970026,0.09715900430952888,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.44545454545454544,Sx,2.47687543570486,0.005242275623388116,2.5,3.9628056733104815,2.45610131612344,2.4976495552862796,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.44545454545454544,Sy,0.004462684946076586,0.03537493719536368,2.5,3.9628056733104815,-0.1357213168647126,0.14464668675686573,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.44545454545454544,Sz,-0.03710937500008315,0.033882150773612,2.5,3.9628056733104815,-0.17137775430971391,0.0971590043095476,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.47727272727272724,Sx,2.4727796344631527,0.005585679380771816,2.5,3.9628056733104815,2.4506446725237367,2.4949145964025687,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.47727272727272724,Sy,0.005024416086229298,0.03547667327541075,2.5,3.9628056733104815,-0.13556274603975077,0.14561157821220938,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.47727272727272724,Sz,-0.03710937500008027,0.03388215077361607,2.5,3.9628056733104815,-0.17137775430972713,0.09715900430956659,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.509090909090909,Sx,2.468370506846676,0.005923181548022278,2.5,3.9628056733104815,2.4448980894041252,2.4918429242892266,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.509090909090909,Sy,0.005591504745347837,0.03558381770175866,2.5,3.9628056733104815,-0.13542024992122734,0.146603259411923,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.509090909090909,Sz,-0.037109375000077174,0.03388215077362001,2.5,3.9628056733104815,-0.17137775430973967,0.09715900430958531,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.5409090909090909,Sx,2.463653210236437,0.006254616825831641,2.5,3.9628056733104815,2.4388673791946482,2.488439041278226,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.5409090909090909,Sy,0.006163992849531605,0.035696007782476356,2.5,3.9628056733104815,-0.1352923493054008,0.14762033500446403,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.5409090909090909,Sz,-0.0371093750000743,0.03388215077362374,2.5,3.9628056733104815,-0.17137775430975158,0.09715900430960298,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.5727272727272726,Sx,2.4586336611578234,0.006579867802524617,2.5,3.9628056733104815,2.4325589237003458,2.484708398615301,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.5727272727272726,Sy,0.006741881840406999,0.03581287503389544,2.5,3.9628056733104815,-0.13517758252147316,0.14866134620228716,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.5727272727272726,Sz,-0.03710937500007167,0.033882150773627134,2.5,3.9628056733104815,-0.1713777543097624,0.09715900430961907,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.6045454545454545,Sx,2.4533185450442816,0.006898865899523136,2.5,3.9628056733104815,2.425979680118243,2.4806574099703202,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.6045454545454545,Sy,0.0073251291211411,0.03593404898148777,2.5,3.9628056733104815,-0.13507452404771536,0.14972478228999758,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.6045454545454545,Sz,-0.03710937500006959,0.03388215077363041,2.5,3.9628056733104815,-0.17137775430977328,0.09715900430963412,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.6363636363636362,Sx,2.4477153172838517,0.007211591661349809,2.5,3.9628056733104815,2.4191371809346562,2.476293453633047,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.6363636363636362,Sy,0.007913644696623059,0.036059161016394066,2.5,3.9628056733104815,-0.1349818031539595,0.15080909254720562,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.6363636363636362,Sz,-0.03710937500006825,0.033882150773633234,2.5,3.9628056733104815,-0.17137775430978314,0.09715900430964663,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.6681818181818181,Sx,2.4418321946764756,0.007518074358858107,2.5,3.9628056733104815,2.4120395269548225,2.4716248623981287,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.6681818181818181,Sy,0.008507288091312943,0.036187848218442766,2.5,3.9628056733104815,-0.13489812213363067,0.15191269831625653,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.6681818181818181,Sz,-0.03710937500006792,0.03388215077363573,2.5,3.9628056733104815,-0.1713777543097927,0.09715900430965688,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.7,Sx,2.4356781366064775,0.007818390887132117,2.5,3.9628056733104815,2.4046953728427916,2.4666609003701634,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.7,Sy,0.0091058656252814,0.03631975705037179,2.5,3.9628056733104815,-0.1348222736671903,0.1530340049177531,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.7,Sz,-0.03710937500006855,0.03388215077363782,2.5,3.9628056733104815,-0.17137775430980162,0.09715900430966451,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.7318181818181817,Sx,2.429262815446535,0.00811266395362319,2.5,3.9628056733104815,2.397113904705456,2.4614117261876145,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.7318181818181817,Sy,0.009709128126117832,0.03645454682574723,2.5,3.9628056733104815,-0.13475315685291592,0.15417141310515156,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.7318181818181817,Sz,-0.03710937500007031,0.03388215077363954,2.5,3.9628056733104815,-0.1713777543098102,0.09715900430966959,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.7636363636363636,Sx,2.422596575955191,0.008401059567946819,2.5,3.9628056733104815,2.3893048094375122,2.45588834247287,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.7636363636363636,Sy,0.010316769152078367,0.03659189285518278,2.5,3.9628056733104815,-0.1346897914516092,0.15532332975576596,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.7636363636363636,Sz,-0.03710937500007311,0.03388215077364081,2.5,3.9628056733104815,-0.17137775430981803,0.09715900430967181,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.7954545454545454,Sx,2.415690383701957,0.008683783862648491,2.5,3.9628056733104815,2.3812782357452513,2.4501025316586627,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.7954545454545454,Sy,0.010928423800344613,0.036731489182098793,2.5,3.9628056733104815,-0.13463132991961907,0.1564881775203083,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.7954545454545454,Sz,-0.037109375000077195,0.03388215077364154,2.5,3.9628056733104815,-0.171377754309825,0.09715900430967062,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.8272727272727272,Sx,2.408555762845779,0.008961079294230479,2.5,3.9628056733104815,2.3730447469796174,2.444066778711941,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.8272727272727272,Sy,0.0115436681736237,0.03687305083027988,2.5,3.9628056733104815,-0.13457706684887516,0.15766440319612257,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.8272727272727272,Sz,-0.03710937500008218,0.0338821507736419,2.5,3.9628056733104815,-0.17137775430983143,0.09715900430966706,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.859090909090909,Sx,2.401204723894699,0.00923322029550152,2.5,3.9628056733104815,2.36461526612476,2.4377941816646382,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.859090909090909,Sy,0.012162019578351611,0.03701631550047922,2.5,3.9628056733104815,-0.13452644549199816,0.15885048464870138,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.859090909090909,Sz,-0.037109375000088256,0.033882150773641796,2.5,3.9628056733104815,-0.1713777543098371,0.09715900430966057,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.8909090909090909,Sx,2.3936496823762266,0.009500508473084411,2.5,3.9628056733104815,2.3560010134997533,2.4312983512526998,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.8909090909090909,Sy,0.012782937528031765,0.03716104467154636,2.5,3.9628056733104815,-0.1344790611225164,0.1600449361785799,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.8909090909090909,Sz,-0.03710937500009508,0.033882150773641276,2.5,3.9628056733104815,-0.17137775430984187,0.0971590043096517,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.9227272727272726,Sx,2.3859033696365297,0.009763267466415895,2.5,3.9628056733104815,2.347213437930569,2.4245933013424903,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.9227272727272726,Sy,0.013405825625049113,0.03730702408206819,2.5,3.9628056733104815,-0.13443466106170146,0.16124631231179967,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.9227272727272726,Sz,-0.0371093750001025,0.03388215077364026,2.5,3.9628056733104815,-0.17137775430984525,0.09715900430964025,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.9545454545454545,Sx,2.377978737250498,0.010021837605089698,2.5,3.9628056733104815,2.3382641423320525,2.4176933321689438,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.9545454545454545,Sy,0.014030034392765187,0.037454063590171935,2.5,3.9628056733104815,-0.13439314129089971,0.16245321007643007,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.9545454545454545,Sz,-0.03710937500011033,0.03388215077363879,2.5,3.9628056733104815,-0.17137775430984725,0.0971590043096266,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.9863636363636362,Sx,2.3698888567491307,0.010276570517955545,2.5,3.9628056733104815,2.3291648047984013,2.4106129086998602,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.9863636363636362,Sy,0.014654865125757099,0.03760199643074125,2.5,3.9628056733104815,-0.1343545396577848,0.16366426990929897,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,0.9863636363636362,Sz,-0.03710937500011827,0.033882150773636946,2.5,3.9628056733104815,-0.17137775430984786,0.09715900430961133,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,1.018181818181818,Sx,2.3616468165454627,0.010527823857970246,2.5,3.9628056733104815,2.3199270964334846,2.403366536657441,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,1.018181818181818,Sy,0.01527957481861835,0.03775067790964955,2.5,3.9628056733104815,-0.13431902577305757,0.1648781754102943,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,1.018181818181818,Sz,-0.03710937500012621,0.03388215077363482,2.5,3.9628056733104815,-0.1713777543098474,0.09715900430959498,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,1.0499999999999998,Sx,2.353265618053115,0.01077595630960074,2.5,3.9628056733104815,2.310562597254083,2.3959686388521466,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,1.0499999999999998,Sy,0.015903382221715737,0.03789998359265932,2.5,3.9628056733104815,-0.1342868877776488,0.16609365222108025,False
haxs.stage5c2gR32.batch-statistics.v1,limit_hopping_zero_chain6,chain6_hole_2,400,104763923,1.0499999999999998,Sz,-0.037109375000133525,0.033882150773632325,2.5,3.9628056733104815,-0.17137775430984484,0.09715900430957777,False
