block,family_index,unit_id,case_id,occupancy_id,sampling,trajectories,phase_seed
DEVELOPMENT,11,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,2714186461
DEVELOPMENT,11,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,3256816759
DEVELOPMENT,11,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,1762551533
DEVELOPMENT,12,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,2429812644
DEVELOPMENT,12,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,2760976717
DEVELOPMENT,12,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,2197176683
DEVELOPMENT,12,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,2180514422
DEVELOPMENT,13,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,2110598030
DEVELOPMENT,13,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,2429761524
DEVELOPMENT,13,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,3953274843
DEVELOPMENT,13,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,2698841219
DEVELOPMENT,14,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,4206273044
DEVELOPMENT,14,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,3348236315
DEVELOPMENT,14,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,757300353
DEVELOPMENT,14,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,2856883059
DEVELOPMENT,15,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,2476112580
DEVELOPMENT,15,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,2103454148
DEVELOPMENT,15,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,3383099949
DEVELOPMENT,15,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,1798035945
DEVELOPMENT,16,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,2186259937
DEVELOPMENT,16,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,4163448236
DEVELOPMENT,16,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,3145639162
DEVELOPMENT,16,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,3779657642
DEVELOPMENT,17,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,745453728
DEVELOPMENT,17,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,3746790455
DEVELOPMENT,17,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,1961109646
DEVELOPMENT,17,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,1050165937
DEVELOPMENT,18,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,2456650183
DEVELOPMENT,18,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,250517543
DEVELOPMENT,18,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,3449756057
DEVELOPMENT,18,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,1147112533
DEVELOPMENT,19,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,4211155456
DEVELOPMENT,19,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,3541442854
DEVELOPMENT,19,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,4204541749
DEVELOPMENT,19,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,2359199007
DEVELOPMENT,20,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,976618937
DEVELOPMENT,20,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,1024436417
DEVELOPMENT,20,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,3028903582
DEVELOPMENT,20,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,3626926200
DEVELOPMENT,21,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,2703550757
DEVELOPMENT,21,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,2427838770
DEVELOPMENT,21,fb5214d8d1bf5caa839f81a965024f62,limit_spin_density_zero_rect2x3,rect2x3_hole_2,iid,1024,2229010231
DEVELOPMENT,21,89bd5e9b58115b60bdad35f43f6437be,limit_spin_density_zero_rect2x3,rect2x3_hole_3,iid,1024,413495527
DEVELOPMENT,22,8d9f57771b025ad2b6da9e578278aa6a,limit_hopping_zero_chain6,chain6_hole_2,iid,1024,3134970808
DEVELOPMENT,22,db87e6c265d45773bb6297db5af0c11f,limit_hopping_zero_chain6,chain6_hole_4,iid,1024,3209016241
